Date,Open,High,Low,Close,Volume
11/21/2025,"181.24","184.56","172.93","178.88","346,926,219"
11/20/2025,"195.95","196.00","179.85","180.64","343,504,812"
11/19/2025,"184.79","187.86","182.83","186.52","247,246,406"
11/18/2025,"183.38","184.80","179.65","181.36","213,598,891"
11/17/2025,"185.97","189.00","184.32","186.60","173,628,891"
11/14/2025,"182.86","191.01","180.58","190.17","186,591,906"
11/13/2025,"191.05","191.44","183.85","186.86","207,423,109"
11/12/2025,"195.72","195.89","191.13","193.80","154,935,297"
11/11/2025,"195.16","195.42","191.30","193.16","176,483,297"
11/10/2025,"195.11","199.94","193.79","199.05","198,897,109"
11/07/2025,"184.90","188.32","178.91","188.15","264,942,312"
11/06/2025,"196.42","197.62","186.38","188.08","223,029,797"
11/05/2025,"198.77","202.92","194.65","195.21","171,350,297"
11/04/2025,"203.00","203.97","197.93","198.69","188,919,297"
11/03/2025,"208.08","211.34","205.56","206.88","180,267,297"
10/31/2025,"206.45","207.97","202.07","202.49","179,802,203"
10/30/2025,"205.15","206.16","201.41","202.89","178,864,406"
10/29/2025,"207.98","212.19","204.78","207.04","308,829,594"
10/28/2025,"193.05","203.15","191.91","201.03","297,986,219"
10/27/2025,"189.99","192.00","188.43","191.49","153,452,703"
10/24/2025,"183.84","187.47","183.50","186.26","131,296,703"
10/23/2025,"180.42","183.03","179.79","182.16","111,363,695"
10/22/2025,"181.14","183.44","176.76","180.28","162,249,594"
10/21/2025,"182.79","182.79","179.80","181.16","124,240,203"
10/20/2025,"183.13","185.20","181.73","182.64","128,544,703"
10/17/2025,"180.18","184.10","179.75","183.22","173,135,203"
10/16/2025,"182.23","183.28","179.77","181.81","179,723,297"
10/15/2025,"184.80","184.87","177.29","179.83","214,450,500"
10/14/2025,"184.77","184.80","179.70","180.03","205,641,406"
10/13/2025,"187.97","190.11","185.96","188.32","153,482,797"
10/10/2025,"193.51","195.62","182.05","183.16","268,774,406"
10/09/2025,"192.23","195.30","191.06","192.57","182,997,203"
10/08/2025,"186.57","189.60","186.54","189.11","130,168,898"
10/07/2025,"186.23","189.06","184.00","185.04","140,088,000"
10/06/2025,"185.50","187.23","183.33","185.54","157,678,094"
10/03/2025,"189.19","190.36","185.38","187.62","137,596,891"
10/02/2025,"189.60","191.05","188.06","188.89","136,805,797"
10/01/2025,"185.24","188.14","183.90","187.24","173,844,891"
09/30/2025,"182.08","187.35","181.48","186.58","236,980,984"
09/29/2025,"180.43","184.00","180.32","181.85","193,063,500"
09/26/2025,"178.17","179.77","174.93","178.19","148,573,703"
09/25/2025,"174.48","180.26","173.13","177.69","191,586,703"
09/24/2025,"179.77","179.78","175.40","176.97","143,564,094"
09/23/2025,"181.97","182.42","176.21","178.43","192,559,594"
09/22/2025,"175.30","184.55","174.71","183.61","269,637,000"
09/19/2025,"175.77","178.08","175.18","176.67","237,182,094"
09/18/2025,"173.98","177.10","172.96","176.24","191,763,297"
09/17/2025,"172.64","173.20","168.41","170.29","211,843,812"
09/16/2025,"177.00","177.50","174.38","174.88","140,737,797"
09/15/2025,"175.67","178.85","174.51","177.75","147,061,594"
09/12/2025,"177.77","178.60","176.45","177.82","124,911,000"
09/11/2025,"179.68","180.28","176.48","177.17","151,159,297"
09/10/2025,"176.64","179.29","175.47","177.33","226,852,000"
09/09/2025,"169.09","170.98","166.74","170.76","157,548,406"
09/08/2025,"167.55","170.96","167.35","168.31","163,769,109"
09/05/2025,"168.03","169.03","164.07","167.02","224,441,406"
09/04/2025,"170.57","171.86","169.41","171.66","141,670,094"
09/03/2025,"171.06","172.41","168.88","170.62","164,424,891"
09/02/2025,"170.00","172.38","167.22","170.78","231,164,891"
08/29/2025,"178.11","178.15","173.15","174.18","243,257,906"
08/28/2025,"180.82","184.47","176.41","180.17","281,787,812"
08/27/2025,"181.98","182.49","179.10","181.60","235,518,891"
08/26/2025,"180.06","182.39","178.81","181.77","168,688,188"
08/25/2025,"178.35","181.91","176.57","179.81","163,012,797"
